Title,Slug,URL,Article Type,Priority,Status,Primary Keyword,Search Intent,Primary CTA,Internal Links To,Internal Links From,Revenue Path,Language,Fact Check,Schema Ready,Thumbnail Ready,Need Internal Link Fix,Notes
タイ長期滞在ビザ比較,thailand-long-stay-visa-comparison,/ja/blog/thailand-long-stay-visa-comparison,comparison,S,published,タイ 長期滞在ビザ,comparison,read-next,"dtv-visa, dtv-vs-retirement-visa, dtv-vs-thailand-privilege, dtv-vs-ltr",,none,ja,TRUE,TRUE,TRUE,TRUE,公開済み・内部リンク未整備
タイDTVビザ完全ガイド,dtv-visa,/ja/blog/dtv-visa,guide,S,published,タイ DTVビザ,informational,read-next,"dtv-soft-power-vs-freelance, dtv-soft-power, dtv-required-documents, dtv-application",,none,ja,TRUE,TRUE,TRUE,TRUE,公開済み・内部リンク未整備
DTV vs リタイアメントビザ,dtv-vs-retirement-visa,/ja/blog/dtv-vs-retirement-visa,comparison,S,published,DTV リタイアメント比較,comparison,read-next,"dtv-soft-power-vs-freelance, who-should-choose-golf-dtv",,none,ja,TRUE,TRUE,TRUE,TRUE,公開済み・内部リンク未整備
ソフトパワー vs フリーランス,dtv-soft-power-vs-freelance,/ja/blog/dtv-soft-power-vs-freelance,comparison,S,brief,DTV ソフトパワー フリーランス,comparison,golf-dtv,"dtv-soft-power, who-should-choose-golf-dtv, dtv-required-documents","dtv-visa, dtv-vs-retirement-visa",golf-dtv,ja,FALSE,FALSE,FALSE,FALSE,次の着手対象1番目
DTVソフトパワービザ,dtv-soft-power,dtv-soft-power,soft-power,S,brief,DTV ソフトパワー,informational,golf-dtv,"dtv-acceptance-letter, who-should-choose-golf-dtv, golf-dtv","dtv-visa, dtv-soft-power-vs-freelance",golf-dtv,ja,FALSE,FALSE,FALSE,FALSE,次の着手対象2番目
DTV必要書類,dtv-required-documents,/ja/blog/dtv-required-documents,documents,S,brief,DTV 必要書類,informational,discord,"dtv-bank-balance, dtv-application","dtv-visa, dtv-soft-power-vs-freelance",soft-consultation,ja,FALSE,FALSE,FALSE,FALSE,次の着手対象3番目
DTV申請方法・手順,dtv-application,/ja/blog/dtv-application,process,S,brief,DTV 申請方法,process,documents,"dtv-required-documents, dtv-bank-balance","dtv-visa",soft-consultation,ja,FALSE,FALSE,FALSE,FALSE,次の着手対象4番目
DTV vs Thailand Privilege,dtv-vs-thailand-privilege,/ja/blog/dtv-vs-thailand-privilege,comparison,S,brief,DTV Thailand Privilege,comparison,read-next,,"thailand-long-stay-visa-comparison",none,ja,FALSE,FALSE,FALSE,FALSE,次の着手対象5番目
DTV残高証明50万バーツ,dtv-bank-balance,/ja/blog/dtv-bank-balance,documents,S,idea,DTV 残高証明,informational,discord,,"dtv-required-documents, dtv-application",soft-consultation,ja,FALSE,FALSE,FALSE,FALSE,制度・金額確認が優先
Golf DTVに向いている人,who-should-choose-golf-dtv,/ja/blog/who-should-choose-golf-dtv,product-bridge,A,idea,Golf DTV 向き不向き,transactional,golf-dtv,,"dtv-soft-power-vs-freelance, dtv-soft-power, dtv-vs-retirement-visa",golf-dtv,ja,FALSE,FALSE,FALSE,FALSE,適性判断記事
DTV vs LTR,dtv-vs-ltr,/ja/blog/dtv-vs-ltr,comparison,A,idea,DTV LTR比較,comparison,read-next,,"thailand-long-stay-visa-comparison",none,ja,FALSE,FALSE,FALSE,FALSE,高属性層向け
DTVデジタルノマドビザ,dtv-digital-nomad-visa,/ja/blog/dtv-digital-nomad-visa,guide,A,idea,DTV デジタルノマド,informational,read-next,,dtv-visa,none,ja,FALSE,FALSE,FALSE,FALSE,positioning補強
DTV受入レター,dtv-acceptance-letter,/ja/blog/dtv-acceptance-letter,documents,S,idea,DTV 受入レター,informational,golf-dtv,,"dtv-soft-power, dtv-required-documents",golf-dtv,ja,FALSE,FALSE,FALSE,FALSE,ソフトパワー特有書類